dataset,llm,n_train_shot,n_demo_shot,method,seed,acc,running_time
wiki-zh,/data/llmweights/gpt2-xl,128,1,MLP,3,0.6408328513591671,5.174635171890259
wiki-zh,/data/llmweights/gpt2-xl,128,1,Logistic Regression,3,0.6148062463851938,0.39230942726135254
wiki-zh,/data/llmweights/gpt2-xl,128,1,Nearest Neighbors,4,0.6101792943898207,0.7523105144500732
wiki-zh,/data/llmweights/gpt2-xl,128,1,MLP,4,0.6570271833429728,4.014001369476318
wiki-zh,/data/llmweights/gpt2-xl,128,1,Logistic Regression,4,0.6176980913823019,0.46178412437438965
wiki-zh,/data/llmweights/gpt2-xl,128,1,Nearest Neighbors,5,0.6460381723539619,0.8954794406890869
wiki-zh,/data/llmweights/gpt2-xl,128,1,MLP,5,0.6385193753614806,4.408613443374634
wiki-zh,/data/llmweights/gpt2-xl,128,1,Logistic Regression,5,0.6229034123770966,0.43187808990478516
wiki-zh,/data/llmweights/gpt2-xl,8,4,Nearest Neighbors,1,0.5806824754193175,1.272338628768921
wiki-zh,/data/llmweights/gpt2-xl,8,4,MLP,1,0.4551764025448236,0.6447763442993164
wiki-zh,/data/llmweights/gpt2-xl,8,4,Logistic Regression,1,0.4898785425101215,0.2853970527648926
wiki-zh,/data/llmweights/gpt2-xl,8,4,Nearest Neighbors,2,0.4956622325043378,1.1788780689239502
wiki-zh,/data/llmweights/gpt2-xl,8,4,MLP,2,0.5835743204164257,0.7519776821136475
wiki-zh,/data/llmweights/gpt2-xl,8,4,Logistic Regression,2,0.5945633314054367,0.27278900146484375
wiki-zh,/data/llmweights/gpt2-xl,8,4,Nearest Neighbors,3,0.5211104684788895,1.1182992458343506
wiki-zh,/data/llmweights/gpt2-xl,8,4,MLP,3,0.5211104684788895,0.42138075828552246
wiki-zh,/data/llmweights/gpt2-xl,8,4,Logistic Regression,3,0.5211104684788895,0.2677793502807617
wiki-zh,/data/llmweights/gpt2-xl,8,4,Nearest Neighbors,4,0.6344707923655292,0.9166786670684814
wiki-zh,/data/llmweights/gpt2-xl,8,4,MLP,4,0.6286871023713129,0.6270389556884766
wiki-zh,/data/llmweights/gpt2-xl,8,4,Logistic Regression,4,0.6286871023713129,0.25508904457092285
wiki-zh,/data/llmweights/gpt2-xl,8,4,Nearest Neighbors,5,0.6691729323308271,0.9961292743682861
wiki-zh,/data/llmweights/gpt2-xl,8,4,MLP,5,0.6200115673799884,0.5854170322418213
wiki-zh,/data/llmweights/gpt2-xl,8,4,Logistic Regression,5,0.6130711393869288,0.26723766326904297
wiki-zh,/data/llmweights/gpt2-xl,16,4,Nearest Neighbors,1,0.503181029496819,0.95082688331604
wiki-zh,/data/llmweights/gpt2-xl,16,4,MLP,1,0.5962984384037016,0.6843702793121338
wiki-zh,/data/llmweights/gpt2-xl,16,4,Logistic Regression,1,0.5708502024291497,0.2684314250946045
wiki-zh,/data/llmweights/gpt2-xl,16,4,Nearest Neighbors,2,0.664545980335454,1.0092175006866455
wiki-zh,/data/llmweights/gpt2-xl,16,4,MLP,2,0.6495083863504916,0.616671085357666
wiki-zh,/data/llmweights/gpt2-xl,16,4,Logistic Regression,2,0.6564488143435512,0.28161072731018066
wiki-zh,/data/llmweights/gpt2-xl,16,4,Nearest Neighbors,3,0.6807403123192597,1.2259135246276855
wiki-zh,/data/llmweights/gpt2-xl,16,4,MLP,3,0.5760555234239445,0.7354555130004883
wiki-zh,/data/llmweights/gpt2-xl,16,4,Logistic Regression,3,0.5748987854251012,0.2359483242034912
wiki-zh,/data/llmweights/gpt2-xl,16,4,Nearest Neighbors,4,0.5159051474840949,0.8973393440246582
wiki-zh,/data/llmweights/gpt2-xl,16,4,MLP,4,0.525159051474841,0.6525096893310547
wiki-zh,/data/llmweights/gpt2-xl,16,4,Logistic Regression,4,0.4916136495083864,0.26731157302856445
wiki-zh,/data/llmweights/gpt2-xl,16,4,Nearest Neighbors,5,0.6419895893580104,1.010944128036499
wiki-zh,/data/llmweights/gpt2-xl,16,4,MLP,5,0.6408328513591671,0.6070482730865479
wiki-zh,/data/llmweights/gpt2-xl,16,4,Logistic Regression,5,0.6396761133603239,0.28154850006103516
wiki-zh,/data/llmweights/gpt2-xl,32,4,Nearest Neighbors,1,0.6876807403123193,1.0885908603668213
wiki-zh,/data/llmweights/gpt2-xl,32,4,MLP,1,0.6795835743204164,0.8278141021728516
wiki-zh,/data/llmweights/gpt2-xl,32,4,Logistic Regression,1,0.6622325043377675,0.2888212203979492
wiki-zh,/data/llmweights/gpt2-xl,32,4,Nearest Neighbors,2,0.5390399074609601,0.9832234382629395
wiki-zh,/data/llmweights/gpt2-xl,32,4,MLP,2,0.5835743204164257,0.8832798004150391
wiki-zh,/data/llmweights/gpt2-xl,32,4,Logistic Regression,2,0.5818392134181608,0.3570125102996826
wiki-zh,/data/llmweights/gpt2-xl,32,4,Nearest Neighbors,3,0.6564488143435512,1.0553076267242432
wiki-zh,/data/llmweights/gpt2-xl,32,4,MLP,3,0.6587622903412377,1.1140024662017822
wiki-zh,/data/llmweights/gpt2-xl,32,4,Logistic Regression,3,0.6628108733371891,0.3178222179412842
wiki-zh,/data/llmweights/gpt2-xl,32,4,Nearest Neighbors,4,0.6026604973973395,1.1796302795410156
wiki-zh,/data/llmweights/gpt2-xl,32,4,MLP,4,0.6165413533834586,0.7298023700714111
wiki-zh,/data/llmweights/gpt2-xl,32,4,Logistic Regression,4,0.6026604973973395,0.2584869861602783
wiki-zh,/data/llmweights/gpt2-xl,32,4,Nearest Neighbors,5,0.6350491613649508,1.3747808933258057
wiki-zh,/data/llmweights/gpt2-xl,32,4,MLP,5,0.6257952573742047,0.7430565357208252
wiki-zh,/data/llmweights/gpt2-xl,32,4,Logistic Regression,5,0.584731058415269,0.3159365653991699
wiki-zh,/data/llmweights/gpt2-xl,64,4,Nearest Neighbors,1,0.6547137073452863,1.3755943775177002
wiki-zh,/data/llmweights/gpt2-xl,64,4,MLP,1,0.633314054366686,1.3533110618591309
wiki-zh,/data/llmweights/gpt2-xl,64,4,Logistic Regression,1,0.6136495083863505,0.3746919631958008
wiki-zh,/data/llmweights/gpt2-xl,64,4,Nearest Neighbors,2,0.5910931174089069,1.2715332508087158
wiki-zh,/data/llmweights/gpt2-xl,64,4,MLP,2,0.5928282244071718,1.5506846904754639
wiki-zh,/data/llmweights/gpt2-xl,64,4,Logistic Regression,2,0.582995951417004,0.34854626655578613
wiki-zh,/data/llmweights/gpt2-xl,64,4,Nearest Neighbors,3,0.6500867553499132,1.1931374073028564
wiki-zh,/data/llmweights/gpt2-xl,64,4,MLP,3,0.6124927703875073,1.8522610664367676
wiki-zh,/data/llmweights/gpt2-xl,64,4,Logistic Regression,3,0.606709080393291,0.3433094024658203
wiki-zh,/data/llmweights/gpt2-xl,64,4,Nearest Neighbors,4,0.5766338924233662,1.1073729991912842
wiki-zh,/data/llmweights/gpt2-xl,64,4,MLP,4,0.6257952573742047,1.2446298599243164
wiki-zh,/data/llmweights/gpt2-xl,64,4,Logistic Regression,4,0.5980335454019664,0.32508206367492676
wiki-zh,/data/llmweights/gpt2-xl,64,4,Nearest Neighbors,5,0.5598611914401388,1.3523528575897217
wiki-zh,/data/llmweights/gpt2-xl,64,4,MLP,5,0.5772122614227877,1.248084306716919
wiki-zh,/data/llmweights/gpt2-xl,64,4,Logistic Regression,5,0.5656448814343551,0.3237776756286621
wiki-zh,/data/llmweights/gpt2-xl,128,4,Nearest Neighbors,1,0.6015037593984962,1.2108840942382812
wiki-zh,/data/llmweights/gpt2-xl,128,4,MLP,1,0.6292654713707345,2.71496844291687
wiki-zh,/data/llmweights/gpt2-xl,128,4,Logistic Regression,1,0.5991902834008097,0.3813807964324951
wiki-zh,/data/llmweights/gpt2-xl,128,4,Nearest Neighbors,2,0.6321573163678427,1.2304580211639404
wiki-zh,/data/llmweights/gpt2-xl,128,4,MLP,2,0.6813186813186813,3.7354681491851807
wiki-zh,/data/llmweights/gpt2-xl,128,4,Logistic Regression,2,0.6576055523423945,0.4077107906341553
wiki-zh,/data/llmweights/gpt2-xl,128,4,Nearest Neighbors,3,0.6130711393869288,1.256937026977539
wiki-zh,/data/llmweights/gpt2-xl,128,4,MLP,3,0.6061307113938693,4.427214622497559
wiki-zh,/data/llmweights/gpt2-xl,128,4,Logistic Regression,3,0.5945633314054367,0.4116339683532715
wiki-zh,/data/llmweights/gpt2-xl,128,4,Nearest Neighbors,4,0.5523423944476576,1.2200493812561035
wiki-zh,/data/llmweights/gpt2-xl,128,4,MLP,4,0.6286871023713129,3.3828511238098145
wiki-zh,/data/llmweights/gpt2-xl,128,4,Logistic Regression,4,0.5991902834008097,0.36861467361450195
